,title,gross,budget,genres,actor_1_name,language,country,title_year,content_rating,imdb_score,movie_facebook_likes,movie_imdb_link,imdb_id
26,Titanic,658672302.0,200000000.0,Drama|Romance,Leonardo DiCaprio,English,USA,1997.0,PG-13,7.7,26000,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,tt0120338
27,Captain America: Civil War,407197282.0,250000000.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,English,USA,2016.0,PG-13,8.2,72000,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,tt3498820
28,Battleship,65173160.0,209000000.0,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,English,USA,2012.0,PG-13,5.9,44000,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,tt1440129
29,Jurassic World,652177271.0,150000000.0,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,English,USA,2015.0,PG-13,7.0,150000,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,tt0369610
30,Skyfall,304360277.0,200000000.0,Action|Adventure|Thriller,Albert Finney,English,UK,2012.0,PG-13,7.8,80000,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,tt1074638
31,Spider-Man 2,373377893.0,200000000.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,English,USA,2004.0,PG-13,7.3,0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,tt0316654
32,Iron Man 3,408992272.0,200000000.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,English,USA,2013.0,PG-13,7.2,95000,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,tt1300854
33,Alice in Wonderland,334185206.0,200000000.0,Adventure|Family|Fantasy,Johnny Depp,English,USA,2010.0,PG,6.5,24000,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,tt1014759
34,X-Men: The Last Stand,234360014.0,210000000.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,English,Canada,2006.0,PG-13,6.8,0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,tt0376994
35,Monsters University,268488329.0,200000000.0,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,English,USA,2013.0,G,7.3,44000,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,tt1453405
36,Transformers: Revenge of the Fallen,402076689.0,200000000.0,Action|Adventure|Sci-Fi,Glenn Morshower,English,USA,2009.0,PG-13,6.0,0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,tt1055369
37,Transformers: Age of Extinction,245428137.0,210000000.0,Action|Adventure|Sci-Fi,Bingbing Li,English,USA,2014.0,PG-13,5.7,56000,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,tt2109248
38,Oz the Great and Powerful,234903076.0,215000000.0,Adventure|Family|Fantasy,Tim Holmes,English,USA,2013.0,PG,6.4,60000,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,tt1623205
39,The Amazing Spider-Man 2,202853933.0,200000000.0,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,English,USA,2014.0,PG-13,6.7,41000,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,tt1872181
40,TRON: Legacy,172051787.0,170000000.0,Action|Adventure|Sci-Fi,Jeff Bridges,English,USA,2010.0,PG,6.8,30000,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,tt1104001
41,Cars 2,191450875.0,200000000.0,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,English,USA,2011.0,G,6.3,10000,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,tt1216475
42,Green Lantern,116593191.0,200000000.0,Action|Adventure|Sci-Fi,Ryan Reynolds,English,USA,2011.0,PG-13,5.6,24000,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,tt1133985
43,Toy Story 3,414984497.0,200000000.0,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,English,USA,2010.0,G,8.3,30000,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,tt0435761
44,Terminator Salvation,125320003.0,200000000.0,Action|Adventure|Sci-Fi,Christian Bale,English,USA,2009.0,PG-13,6.6,0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,tt0438488
45,Furious 7,350034110.0,190000000.0,Action|Crime|Thriller,Jason Statham,English,USA,2015.0,PG-13,7.2,94000,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,tt2820852
46,World War Z,202351611.0,190000000.0,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,English,USA,2013.0,PG-13,7.0,129000,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,tt0816711
47,X-Men: Days of Future Past,233914986.0,200000000.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,English,USA,2014.0,PG-13,8.0,82000,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,tt1877832
48,Star Trek Into Darkness,228756232.0,190000000.0,Action|Adventure|Sci-Fi,Benedict Cumberbatch,English,USA,2013.0,PG-13,7.8,92000,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,tt1408101
49,Jack the Giant Slayer,65171860.0,195000000.0,Adventure|Fantasy,Eddie Marsan,English,USA,2013.0,PG-13,6.3,22000,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,tt1351685
50,The Great Gatsby,144812796.0,105000000.0,Drama|Romance,Leonardo DiCaprio,English,Australia,2013.0,PG-13,7.3,115000,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,tt1343092
51,Prince of Persia: The Sands of Time,90755643.0,200000000.0,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,English,USA,2010.0,PG-13,6.6,23000,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,tt0473075
52,Pacific Rim,101785482.0,190000000.0,Action|Adventure|Sci-Fi,Charlie Hunnam,English,USA,2013.0,PG-13,7.0,83000,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,tt1663662
53,Transformers: Dark of the Moon,352358779.0,195000000.0,Action|Adventure|Sci-Fi,Glenn Morshower,English,USA,2011.0,PG-13,6.3,46000,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,tt1399103
54,Indiana Jones and the Kingdom of the Crystal Skull,317011114.0,185000000.0,Action|Adventure|Fantasy,Harrison Ford,English,USA,2008.0,PG-13,6.2,5000,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,tt0367882
55,The Good Dinosaur,123070338.0,,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,English,USA,2015.0,PG,6.8,20000,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,tt1979388
56,Brave,237282182.0,185000000.0,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,English,USA,2012.0,PG,7.2,39000,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,tt1217209
57,Star Trek Beyond,130468626.0,185000000.0,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,English,USA,2016.0,PG-13,7.5,30000,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,tt2660888
58,WALL·E,223806889.0,180000000.0,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,English,USA,2008.0,G,8.4,16000,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,tt0910970
59,Rush Hour 3,140080850.0,140000000.0,Action|Comedy|Crime|Thriller,Tzi Ma,English,USA,2007.0,PG-13,6.2,0,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,tt0293564
60,2012,166112167.0,200000000.0,Action|Adventure|Sci-Fi,Oliver Platt,English,USA,2009.0,PG-13,5.8,13000,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,tt1190080
61,A Christmas Carol,137850096.0,200000000.0,Animation|Drama|Family|Fantasy,Robin Wright,English,USA,2009.0,PG,6.8,0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,tt1067106
62,Jupiter Ascending,47375327.0,176000000.0,Action|Adventure|Sci-Fi,Channing Tatum,English,USA,2015.0,PG-13,5.4,44000,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,tt1617661
63,The Legend of Tarzan,124051759.0,180000000.0,Action|Adventure|Drama|Romance,Christoph Waltz,English,USA,2016.0,PG-13,6.6,29000,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,tt0918940
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291709845.0,180000000.0,Adventure|Family|Fantasy,Jim Broadbent,English,USA,2005.0,PG,6.9,0,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,tt0363771
65,X-Men: Apocalypse,154985087.0,178000000.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,English,USA,2016.0,PG-13,7.3,54000,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,tt3385516
66,The Dark Knight,533316061.0,185000000.0,Action|Crime|Drama|Thriller,Christian Bale,English,USA,2008.0,PG-13,9.0,37000,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,tt0468569
67,Up,292979556.0,175000000.0,Adventure|Animation|Comedy|Family,John Ratzenberger,English,USA,2009.0,PG,8.3,27000,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,tt1049413
68,Monsters vs. Aliens,198332128.0,175000000.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,English,USA,2009.0,PG,6.5,0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,tt0892782
69,Iron Man,318298180.0,140000000.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,English,USA,2008.0,PG-13,7.9,10000,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,tt0371746
70,Hugo,73820094.0,170000000.0,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,English,USA,2011.0,PG,7.5,42000,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,tt0970179
71,Wild Wild West,113745408.0,170000000.0,Action|Comedy|Sci-Fi|Western,Will Smith,English,USA,1999.0,PG-13,4.8,0,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,tt0120891
72,The Mummy: Tomb of the Dragon Emperor,102176165.0,145000000.0,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,English,USA,2008.0,PG-13,5.2,0,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,tt0859163
73,Suicide Squad,161087183.0,175000000.0,Action|Adventure|Comedy|Sci-Fi,Will Smith,English,USA,2016.0,PG-13,6.9,80000,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,tt1386697
74,Evan Almighty,100289690.0,175000000.0,Comedy|Family|Fantasy,Jimmy Bennett,English,USA,2007.0,PG,5.4,2000,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,tt0413099
75,Edge of Tomorrow,100189501.0,178000000.0,Action|Adventure|Sci-Fi,Tom Cruise,English,USA,2014.0,PG-13,7.9,77000,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,tt1631867
76,Waterworld,88246220.0,175000000.0,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,English,USA,1995.0,PG-13,6.1,0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,tt0114898
77,G.I. Joe: The Rise of Cobra,150167630.0,175000000.0,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,English,USA,2009.0,PG-13,5.8,0,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,tt1046173
78,Inside Out,356454367.0,175000000.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,English,USA,2015.0,PG,8.3,118000,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,tt2096673
79,The Jungle Book,362645141.0,175000000.0,Adventure|Drama|Family|Fantasy,Scarlett Johansson,English,UK,2016.0,PG,7.8,65000,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,tt3040964
80,Iron Man 2,312057433.0,200000000.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,English,USA,2010.0,PG-13,7.0,18000,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,tt1228705
81,Snow White and the Huntsman,155111815.0,170000000.0,Action|Adventure|Drama|Fantasy,Chris Hemsworth,English,USA,2012.0,PG-13,6.1,53000,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,tt1735898
82,Maleficent,241407328.0,180000000.0,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,English,USA,2014.0,PG,7.0,89000,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,tt1587310
83,Dawn of the Planet of the Apes,208543795.0,170000000.0,Action|Adventure|Drama|Sci-Fi,Gary Oldman,English,USA,2014.0,PG-13,7.6,45000,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,tt2103281
84,The Lovers,,,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,English,Belgium,2015.0,R,4.5,677,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,tt1321869
85,47 Ronin,38297305.0,175000000.0,Action|Adventure|Drama|Fantasy,Keanu Reeves,English,USA,2013.0,PG-13,6.3,35000,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,tt1335975
86,Captain America: The Winter Soldier,259746958.0,170000000.0,Action|Adventure|Sci-Fi,Scarlett Johansson,English,USA,2014.0,PG-13,7.8,55000,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,tt1843866
87,Shrek Forever After,238371987.0,165000000.0,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,English,USA,2010.0,PG,6.4,0,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,tt0892791
88,Tomorrowland,93417865.0,190000000.0,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,English,USA,2015.0,PG,6.5,37000,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,tt1964418
89,Big Hero 6,222487711.0,165000000.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,English,USA,2014.0,PG,7.9,41000,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,tt2245084
90,Wreck-It Ralph,189412677.0,165000000.0,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,English,USA,2012.0,PG,7.8,40000,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,tt1772341
91,The Polar Express,665426.0,165000000.0,Adventure|Animation|Family|Fantasy,Tom Hanks,English,USA,2004.0,G,6.6,10000,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,tt0338348
92,Independence Day: Resurgence,102315545.0,165000000.0,Action|Adventure|Sci-Fi,Vivica A. Fox,English,USA,2016.0,PG-13,5.5,67000,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,tt1628841
93,How to Train Your Dragon,217387997.0,165000000.0,Adventure|Animation|Family|Fantasy,Gerard Butler,English,USA,2010.0,PG,8.2,33000,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,tt0892769
94,Terminator 3: Rise of the Machines,150350192.0,200000000.0,Action|Sci-Fi,Nick Stahl,English,USA,2003.0,R,6.4,0,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,tt0181852
95,Guardians of the Galaxy,333130696.0,170000000.0,Action|Adventure|Sci-Fi,Bradley Cooper,English,USA,2014.0,PG-13,8.1,96000,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,tt2015381
96,Interstellar,187991439.0,165000000.0,Adventure|Drama|Sci-Fi,Matthew McConaughey,English,USA,2014.0,PG-13,8.6,349000,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,tt0816692
97,Inception,292568851.0,160000000.0,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,English,USA,2010.0,PG-13,8.8,175000,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,tt1375666
99,The Hobbit: An Unexpected Journey,303001229.0,180000000.0,Adventure|Fantasy,Aidan Turner,English,USA,2012.0,PG-13,7.9,166000,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,tt0903624
100,The Fast and the Furious,144512310.0,38000000.0,Action|Crime|Thriller,Paul Walker,English,USA,2001.0,PG-13,6.7,14000,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,tt0232500
101,The Curious Case of Benjamin Button,127490802.0,150000000.0,Drama|Fantasy|Romance,Brad Pitt,English,USA,2008.0,PG-13,7.8,23000,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,tt0421715
102,X-Men: First Class,146405371.0,160000000.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,English,USA,2011.0,PG-13,7.8,54000,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,tt1270798
103,The Hunger Games: Mockingjay - Part 2,281666058.0,160000000.0,Adventure|Sci-Fi,Jennifer Lawrence,English,USA,2015.0,PG-13,6.6,38000,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,tt1951266
104,The Sorcerer's Apprentice,63143812.0,150000000.0,Action|Adventure|Family|Fantasy,Nicolas Cage,English,USA,2010.0,PG,6.1,11000,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,tt0963966
105,Poseidon,60655503.0,160000000.0,Action|Adventure|Drama|Thriller,Jimmy Bennett,English,USA,2006.0,PG-13,5.6,0,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,tt0409182
106,Alice Through the Looking Glass,76846624.0,170000000.0,Adventure|Family|Fantasy,Johnny Depp,English,USA,2016.0,PG,6.4,30000,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,tt2567026
107,Shrek the Third,320706665.0,160000000.0,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,English,USA,2007.0,PG,6.1,0,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,tt0413267
108,Warcraft,46978995.0,160000000.0,Action|Adventure|Fantasy,Dominic Cooper,English,USA,2016.0,PG-13,7.3,89000,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,tt0803096
109,Terminator Genisys,89732035.0,155000000.0,Action|Adventure|Sci-Fi,J.K. Simmons,English,USA,2015.0,PG-13,6.6,82000,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,tt1340138
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,104383624.0,155000000.0,Adventure|Family|Fantasy,Bruce Spence,English,USA,2010.0,PG,6.3,11000,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,tt0980970
111,Pearl Harbor,198539855.0,140000000.0,Action|Drama|History|Romance|War,Jennifer Garner,English,USA,2001.0,PG-13,6.1,0,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,tt0213149
112,Transformers,318759914.0,150000000.0,Action|Adventure|Sci-Fi,Zack Ward,English,USA,2007.0,PG-13,7.1,8000,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,tt0418279
113,Alexander,34293771.0,155000000.0,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,English,Germany,2004.0,R,5.5,0,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,tt0346491
114,Harry Potter and the Order of the Phoenix,292000866.0,150000000.0,Adventure|Family|Fantasy|Mystery,Robert Pattinson,English,UK,2007.0,PG-13,7.5,0,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,tt0373889
115,Harry Potter and the Goblet of Fire,289994397.0,150000000.0,Adventure|Family|Fantasy|Mystery,Robert Pattinson,English,UK,2005.0,PG-13,7.6,0,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,tt0330373
116,Hancock,227946274.0,150000000.0,Action|Drama,Will Smith,English,USA,2008.0,PG-13,6.4,0,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,tt0448157
117,I Am Legend,256386216.0,150000000.0,Drama|Horror|Sci-Fi,Will Smith,English,USA,2007.0,PG-13,7.2,11000,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,tt0480249
118,Charlie and the Chocolate Factory,206456431.0,150000000.0,Adventure|Comedy|Family|Fantasy,Johnny Depp,English,USA,2005.0,PG,6.7,0,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,tt0367594
119,Ratatouille,206435493.0,150000000.0,Animation|Comedy|Family|Fantasy,Janeane Garofalo,English,USA,2007.0,G,8.0,10000,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,tt0382932
120,Batman Begins,205343774.0,150000000.0,Action|Adventure,Christian Bale,English,USA,2005.0,PG-13,8.3,15000,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,tt0372784
121,Madagascar: Escape 2 Africa,179982968.0,150000000.0,Action|Adventure|Animation|Comedy|Family,Bernie Mac,English,USA,2008.0,PG,6.7,0,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,tt0479952
122,Night at the Museum: Battle of the Smithsonian,177243721.0,150000000.0,Adventure|Comedy|Family|Fantasy,Robin Williams,English,USA,2009.0,PG,5.9,2000,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,tt1078912
123,X-Men Origins: Wolverine,179883016.0,150000000.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,English,USA,2009.0,PG-13,6.7,0,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,tt0458525
124,The Matrix Revolutions,139259759.0,150000000.0,Action|Sci-Fi,Essie Davis,English,Australia,2003.0,R,6.7,0,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,tt0242653
125,Frozen,400736600.0,150000000.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,English,USA,2013.0,PG,7.6,58000,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,tt2294629
